Date,Open,High,Low,Last,Volume,Open Interest
2013-11-06,,701.0,701.0,701.0,0.0,0.0
2013-11-05,,704.0,704.0,704.0,0.0,0.0
2013-11-04,,709.0,709.0,709.0,0.0,0.0
2013-11-01,,713.0,713.0,713.0,0.0,0.0
2013-10-31,,714.0,714.0,714.0,0.0,0.0
2013-10-30,,718.0,718.0,718.0,0.0,0.0
2013-10-29,,721.0,721.0,721.0,0.0,0.0
2013-10-28,,720.0,720.0,720.0,0.0,0.0
2013-10-25,,728.0,728.0,728.0,0.0,0.0
2013-10-24,,733.0,733.0,733.0,0.0,0.0
2013-10-23,,739.0,739.0,739.0,0.0,0.0
2013-10-22,,736.0,736.0,736.0,0.0,0.0
2013-10-21,,732.0,732.0,732.0,0.0,0.0
2013-10-18,,738.0,738.0,738.0,0.0,0.0
2013-10-17,,719.0,719.0,719.0,0.0,0.0
2013-10-16,,715.0,715.0,715.0,0.0,0.0
2013-10-15,,726.0,726.0,726.0,0.0,0.0
2013-10-14,,731.0,731.0,731.0,0.0,0.0
2013-10-11,,731.0,731.0,731.0,0.0,0.0
2013-10-10,,726.0,726.0,726.0,0.0,0.0
2013-10-09,,729.0,729.0,729.0,0.0,0.0
2013-10-08,,730.0,730.0,730.0,0.0,0.0
2013-10-07,,726.0,726.0,726.0,0.0,0.0
2013-10-04,,720.0,720.0,720.0,0.0,0.0
2013-10-03,,724.0,724.0,724.0,0.0,0.0
2013-10-02,,722.0,722.0,722.0,0.0,0.0
2013-10-01,,714.0,714.0,714.0,0.0,0.0
2013-09-30,,715.0,715.0,715.0,0.0,0.0
2013-09-27,,708.0,708.0,708.0,0.0,0.0
2013-09-26,,704.0,704.0,704.0,0.0,0.0
2013-09-25,,695.0,695.0,695.0,0.0,0.0
2013-09-24,,683.0,683.0,683.0,0.0,0.0
2013-09-23,,678.0,678.0,678.0,0.0,0.0
2013-09-20,,674.0,674.0,674.0,0.0,0.0
2013-09-19,,683.0,683.0,683.0,0.0,0.0
2013-09-18,,675.0,675.0,675.0,0.0,0.0
2013-09-17,,673.0,673.0,673.0,0.0,0.0
2013-09-16,,672.0,672.0,672.0,0.0,0.0
2013-09-13,,674.0,674.0,674.0,0.0,0.0
2013-09-12,,683.0,683.0,683.0,0.0,0.0
2013-09-11,,677.0,677.0,677.0,0.0,0.0
2013-09-10,,674.0,674.0,674.0,0.0,0.0
2013-09-09,,668.0,668.0,668.0,0.0,0.0
2013-09-06,,675.0,675.0,675.0,0.0,0.0
2013-09-05,,669.0,669.0,669.0,0.0,0.0
2013-09-04,,678.0,678.0,678.0,0.0,0.0
2013-09-03,,678.0,678.0,678.0,0.0,0.0
2013-08-30,,680.0,680.0,680.0,0.0,0.0
2013-08-29,,680.0,680.0,680.0,0.0,0.0
2013-08-28,,687.0,687.0,687.0,0.0,0.0
2013-08-27,,688.0,688.0,688.0,0.0,0.0
2013-08-26,,690.0,690.0,690.0,0.0,0.0
2013-08-23,,677.0,677.0,677.0,0.0,0.0
2013-08-22,,676.0,676.0,676.0,0.0,0.0
2013-08-21,,681.0,681.0,681.0,0.0,0.0
2013-08-20,,679.0,679.0,679.0,0.0,0.0
2013-08-19,,685.0,685.0,685.0,0.0,0.0
2013-08-16,,680.0,680.0,680.0,0.0,0.0
2013-08-15,,683.0,683.0,683.0,0.0,0.0
2013-08-14,,680.0,680.0,680.0,0.0,0.0
2013-08-13,,679.0,679.0,679.0,0.0,0.0
2013-08-12,,685.0,685.0,685.0,0.0,0.0
2013-08-09,,682.0,682.0,682.0,0.0,0.0
2013-08-08,,685.0,685.0,685.0,0.0,0.0
2013-08-07,,684.0,684.0,684.0,0.0,0.0
2013-08-06,,687.0,687.0,687.0,0.0,0.0
2013-08-05,,682.0,682.0,682.0,0.0,0.0
2013-08-02,,692.0,692.0,692.0,0.0,0.0
2013-08-01,,691.0,691.0,691.0,0.0,0.0
2013-07-31,,684.0,684.0,684.0,0.0,0.0
2013-07-30,,676.0,676.0,676.0,0.0,0.0
2013-07-29,,669.0,669.0,669.0,0.0,0.0
2013-07-26,,670.0,670.0,670.0,0.0,0.0
2013-07-25,,669.0,669.0,669.0,0.0,0.0
2013-07-24,,673.0,673.0,673.0,0.0,0.0
2013-07-23,,674.0,674.0,674.0,0.0,0.0
2013-07-22,,676.0,676.0,676.0,0.0,0.0
2013-07-19,,678.0,678.0,678.0,0.0,0.0
2013-07-18,,675.0,675.0,675.0,0.0,0.0
2013-07-17,,678.0,678.0,678.0,0.0,0.0
2013-07-16,,683.0,679.0,683.0,0.0,0.0
2013-07-15,,683.0,677.0,683.0,0.0,0.0
2013-07-12,,683.0,683.0,683.0,0.0,0.0
2013-07-11,,684.0,684.0,684.0,0.0,0.0
2013-07-10,,685.0,685.0,685.0,0.0,0.0
2013-07-09,,680.0,680.0,680.0,0.0,0.0
2013-07-08,,667.0,667.0,667.0,0.0,0.0
2013-07-05,,664.0,664.0,664.0,0.0,0.0
2013-07-03,,673.0,673.0,673.0,0.0,0.0
2013-07-02,,668.0,668.0,668.0,0.0,0.0
2013-07-01,,668.0,668.0,668.0,0.0,0.0
2013-06-28,,669.0,669.0,669.0,0.0,0.0
2013-06-27,,680.0,680.0,680.0,0.0,0.0
2013-06-26,,685.0,685.0,685.0,0.0,0.0
2013-06-25,,692.0,692.0,692.0,0.0,0.0
2013-06-24,,698.0,698.0,698.0,0.0,0.0
2013-06-21,,718.0,718.0,718.0,0.0,0.0
2013-06-20,,718.0,718.0,718.0,0.0,0.0
2013-06-19,,720.0,720.0,720.0,0.0,0.0
2013-06-18,,700.0,700.0,700.0,0.0,0.0
2013-06-17,,695.0,695.0,695.0,0.0,0.0
2013-06-14,,691.0,691.0,691.0,0.0,0.0
2013-06-13,,698.0,698.0,698.0,0.0,0.0
2013-06-12,,696.0,696.0,696.0,0.0,0.0
2013-06-11,,710.0,710.0,710.0,0.0,0.0
2013-06-10,,706.0,706.0,706.0,0.0,0.0
2013-06-07,,715.0,715.0,715.0,0.0,0.0
2013-06-06,,718.0,718.0,718.0,0.0,0.0
2013-06-05,,722.0,722.0,722.0,0.0,0.0
2013-06-04,,729.0,729.0,729.0,0.0,0.0
2013-06-03,,730.0,730.0,730.0,0.0,0.0
2013-05-31,,727.0,727.0,727.0,0.0,0.0
2013-05-30,,722.0,722.0,722.0,0.0,0.0
2013-05-29,,723.0,723.0,723.0,0.0,0.0
2013-05-28,,719.0,719.0,719.0,0.0,0.0
2013-05-24,,721.0,721.0,721.0,0.0,0.0
2013-05-23,,729.0,729.0,729.0,0.0,0.0
2013-05-22,,719.0,719.0,719.0,0.0,0.0
2013-05-21,,715.0,715.0,715.0,0.0,0.0
2013-05-20,,721.0,721.0,721.0,0.0,0.0
2013-05-17,,714.0,714.0,714.0,0.0,0.0
2013-05-16,,721.0,721.0,721.0,0.0,0.0
2013-05-15,,728.0,728.0,728.0,0.0,0.0
2013-05-14,,743.0,743.0,743.0,0.0,0.0
2013-05-13,,743.0,743.0,743.0,0.0,0.0
2013-05-10,,736.0,736.0,736.0,0.0,0.0
2013-05-09,,756.0,756.0,756.0,0.0,0.0
2013-05-08,,737.0,737.0,737.0,0.0,0.0
2013-05-07,,735.0,735.0,735.0,0.0,0.0
2013-05-06,,734.0,734.0,734.0,0.0,0.0
2013-05-03,,755.0,755.0,755.0,0.0,0.0
2013-05-02,,767.0,767.0,767.0,0.0,0.0
2013-05-01,,759.0,759.0,759.0,0.0,0.0
2013-04-30,,756.0,756.0,756.0,0.0,0.0
2013-04-29,,743.0,743.0,743.0,0.0,0.0
2013-04-26,,719.0,719.0,719.0,0.0,0.0
2013-04-25,,730.0,730.0,730.0,0.0,0.0
2013-04-24,,709.0,709.0,709.0,0.0,0.0
2013-04-23,,708.0,708.0,708.0,0.0,0.0
2013-04-22,,710.0,710.0,710.0,0.0,0.0
2013-04-19,,717.0,717.0,717.0,0.0,0.0
2013-04-18,,715.0,715.0,715.0,0.0,0.0
2013-04-17,,714.0,714.0,714.0,0.0,0.0
2013-04-16,,714.0,714.0,714.0,0.0,0.0
2013-04-15,,705.0,705.0,705.0,0.0,0.0
2013-04-12,,725.0,725.0,725.0,0.0,0.0
2013-04-11,,712.0,712.0,712.0,0.0,0.0
2013-04-10,,705.0,705.0,705.0,0.0,0.0
2013-04-09,,721.0,721.0,721.0,0.0,0.0
2013-04-08,,720.0,720.0,720.0,0.0,0.0
2013-04-05,,701.0,701.0,701.0,0.0,0.0
2013-04-04,,697.0,697.0,697.0,0.0,0.0
2013-04-03,,710.0,710.0,710.0,0.0,0.0
2013-04-02,,692.0,692.0,692.0,0.0,0.0
2013-04-01,,685.0,685.0,685.0,0.0,0.0
2013-03-28,,691.0,691.0,691.0,0.0,0.0
2013-03-27,,737.0,737.0,737.0,0.0,0.0
2013-03-26,,732.0,732.0,732.0,0.0,0.0
2013-03-25,,723.0,723.0,723.0,0.0,0.0
2013-03-22,,726.0,726.0,726.0,0.0,0.0
2013-03-21,,725.0,725.0,725.0,0.0,0.0
2013-03-20,,730.0,730.0,730.0,0.0,0.0
2013-03-19,,716.0,716.0,716.0,0.0,0.0
2013-03-18,,709.0,709.0,709.0,0.0,0.0
2013-03-15,,715.0,715.0,715.0,0.0,0.0
2013-03-14,,716.0,716.0,716.0,0.0,0.0
2013-03-13,,701.0,701.0,701.0,0.0,0.0
2013-03-12,,699.0,699.0,699.0,0.0,0.0
